1,2013-11-24T23:30:04.3Z
smd-id,insertion-datetime
0000001681375789102250-65535,2013-08-09T12:00:00.0Z
0000001691375789102379-65535,2013-08-09T12:00:00.0Z
0000001701375789102455-65535,2013-08-09T12:00:00.0Z
0000001711375789102531-65535,2013-08-09T12:00:00.0Z
0000001721375789102646-65535,2013-08-09T12:00:00.0Z
0000001731375789103073-65535,2013-08-09T12:00:00.0Z
0000001741375789103526-65535,2013-08-09T12:00:00.0Z
0000001751375789103645-65535,2013-08-10T00:00:00.0Z
0000001761375789103896-65535,2013-08-09T12:00:00.0Z
0000001771375789104608-65535,2013-08-10T00:00:00.0Z
0000001781375789104683-65535,2013-08-09T12:00:00.0Z
0000001791375789104761-65535,2013-08-10T00:00:00.0Z
0000001801375789104829-65535,2013-08-09T12:00:00.0Z
0000001811375789104899-65535,2013-08-10T00:00:00.0Z
0000001821375789105364-65535,2013-08-09T12:00:00.0Z
0000001831375789105609-65535,2013-08-09T12:00:00.0Z
0000001841375789105951-65535,2013-08-09T12:00:00.0Z
0000001861375789106207-65535,2013-08-09T12:00:00.0Z
0000001871375789106415-65535,2013-08-09T12:00:00.0Z
0000001881375789106727-65535,2013-08-10T00:00:00.0Z
0000001891375789106801-65535,2013-08-09T12:00:00.0Z
0000001901375789106867-65535,2013-08-09T12:00:00.0Z
0000001911375789106930-65535,2013-08-09T12:00:00.0Z
0000001921375789107127-65535,2013-08-09T12:00:00.0Z
0000001931375789107419-65535,2013-08-09T12:00:00.0Z
0000001941375789107764-65535,2013-08-09T12:00:00.0Z
0000001951375789107828-65535,2013-08-09T12:00:00.0Z
0000001961375789108243-65535,2013-08-09T12:00:00.0Z
0000001971375789108423-65535,2013-08-09T12:00:00.0Z
0000001981375789108707-65535,2013-08-09T12:00:00.0Z
0000001991375789108768-65535,2013-08-09T12:00:00.0Z
0000002001375789108838-65535,2013-08-09T12:00:00.0Z
0000002011375789109167-65535,2013-08-09T12:00:00.0Z
0000002021375789109490-65535,2013-08-09T12:00:00.0Z
0000002031375789109556-65535,2013-08-09T12:00:00.0Z
0000002041375789109612-65535,2013-08-09T12:00:00.0Z
0000002051375789109669-65535,2013-08-09T12:00:00.0Z
0000002061375789109951-65535,2013-08-09T12:00:00.0Z
0000002071375789110528-65535,2013-08-09T12:00:00.0Z
